date; machine; nvilles; graine; nthreads; longueur; temps; coupures
Thu May 15 11:39:39 2014;jens-GX60-1AC;15;12387;1;328;1193.299835;2700150
Thu May 15 11:39:41 2014;jens-GX60-1AC;16;12387;1;343;2789.443921;6418744
